tipo,#,PMG,participacao_municipal,patrimonio_liquido,resultados_liquidos,dividas_a_pagar,financiamento_e_outros,indice_divida_total,dividas_a_receber,#_trabalhadores_2020,#_habitantes
EM SA,,"Lisboa Ocidental, SRU",100%,17255487,0,15975000,25316290,-,29133176,-,-
EMT SA,,TML - Transportes Metropolitanos de Lisboa,100%,25105986,24952,0,32444341,-,3337476,-,-
CM,M,Loulé,-,429287191,22172589,13748323,15263270,"20,1%",44664472,1940,72348
EM SA,,Infralobo - Empresa de InfraEstruturas,51%,1431665,89335,483870,2293632,-,517075,-,-
EM SA,,Inframoura - Empresa de InfraEstruturas,51%,1838508,402722,563991,2823433,-,1219054,-,-
EM SA,,Infraquinta - Empresa de InfraEstruturas,51%,5655122,192662,293363,2162066,-,526538,-,-
EM SA,,Loulé Concelho Global,100%,1761838,-189773,638310,677610,-,42454,-,-
CM,G,Loures,-,1338386042,999528,19462643,23508636,"35,3%",42855117,2474,201632
SMAS,,SIMAR de Loures e Odivelas,100%,39432419,-5368593,374113,14796932,-,12364226,911,-
EM,,Gesloures - Gestão de Equipamentos Sociais,100%,2409553,-218463,180000,711563,-,87619,-,-
EM,,Loures Parque - Estacionamento,100%,19255,19255,0,58053,-,65760,-,-
CM,M,Lourinhã,-,92050978,-1799994,7103991,2414681,"42,3%",2720607,551,26246
CM,P,Lousã,-,61143139,-829522,2127088,1621319,"28,8%",3154677,182,17007
CM,M,Lousada,-,137232758,2710807,9357518,7522520,"59,9%",6084829,666,47376
EM,,Lousada Seculo XXI,100%,238933,124,66000,172864,-,171661,-,-
CM,P,Mação,-,31911101,43765,2128133,1092895,"36,7%",1189296,185,6402
CM,P,Macedo de Cavaleiros,-,27571211,-283698,12113152,4174651,"98,0%",7567126,304,14252
CM,P,Machico,-,54339443,179243,2360697,2615081,"47,6%",3925129,186,19594
CM,P,Madalena,-,30872968,26152,1438707,1867488,"55,6%",361533,95,6323
CM,M,Mafra,-,274609613,6089858,22966921,10123021,"48,4%",32535837,1006,86521
SMAS,,SMAS de Mafra,100%,48296336,982932,21506386,2054057,-,2292290,90,-
EM SA,,Giatul - Gest.. InfraEstruturas Activ.Turísticas,100%,6103482,96387,2244412,2031089,-,327229,-,-
SA,,Matadouro Regional de Mafra,93%,1707076,171556,0,494722,-,478998,-,-
CM,G,Maia,-,417919024,8108020,14596404,10812534,"29,3%",49670446,925,134988
SMAES,,SMAS da Maia,100%,55950467,1339115,6836431,3724679,-,6030941,158,-
EM,,EMEM - Emp. Metropolitana Estacionamento,100%,524214,29302,0,200560,-,8449,-,-
