tipo,#,PMG,participacao_municipal,patrimonio_liquido,resultados_liquidos,dividas_a_pagar,financiamento_e_outros,indice_divida_total,dividas_a_receber,#_trabalhadores_2020,#_habitantes
EIM SA,,ABMG - Águas do Baixo Mondego e Gândara,33%,8708521,-325268,1817291,4905671,-,5211059,-,-
CM,P,Sousel,-,27781680,78419,2463864,1905890,"66,7%",920225,168,4360
CM,P,Tábua,-,36482178,569621,3138186,6507053,"106,5%",5134621,265,11161
CM,P,Tabuaço,-,30495413,286956,4026343,6591184,"150,4%",1783778,92,5034
CM,P,Tarouca,-,19857237,-628935,6688599,5817923,"146,7%",1262697,277,7364
CM,M,Tavira,-,189283584,-6541450,4601427,2521006,"24,8%",10431218,431,27530
EM,,Tavira Verde - Ambiente,51%,5927622,933555,10019342,3396413,-,893332,-,-
CM,P,Terras de Bouro,-,31914655,-433852,3132468,1465836,"50,1%",1603846,207,6358
CM,M,Tomar,-,98602428,847690,3516066,13518491,"76,0%",7605673,589,36414
Soc.,,Ensino Profissional de Tomar,50%,si,si,si,si,-,si,-,-
CM,M,Tondela,-,79183662,504632,2779894,5060820,"35,0%",6019927,308,25914
CM,P,Torre de Moncorvo,-,33957536,598385,7153666,2219746,"85,6%",507173,162,6826
CM,M,Torres Novas,-,141923687,1553759,9676696,3211397,"56,1%",9599907,574,34114
CM,M,Torres Vedras,-,229497427,507070,12698625,6669497,"40,9%",24426559,1051,83075
EM,,Promotorres - Prom. Eventos e Gest. Equip.,100%,246959,6290,17141,884375,-,469052,-,-
SMAS,,SMAS Torres Vedras,100%,33287153,-616171,0,2352865,-,3265325,225,-
CM,P,Trancoso,-,37863573,493620,3651918,1596240,"56,2%",2005091,193,8414
EEM,,TEGEC - Gest. Equip. Culturais e de Lazer,100%,si,si,si,si,-,si,-,-
CM,M,Trofa,-,83396430,3775278,24514797,3421027,"122,7%",8865009,335,38554
EM,,Trofáguas - Serviços Ambientais,100%,3926099,-109468,4123581,1915052,-,432945,-,-
CM,M,Vagos,-,65132345,-2500843,5232835,9030760,"99,6%",7179539,247,22889
CM,M,Vale de Cambra,-,80512033,133817,8894962,2182563,"74,8%",4395597,205,21275
CM,P,Valença,-,52356574,622474,5381188,2359008,"53,3%",5287465,274,13625
EM,,Interminho - Soc. Gestora de Parques Emp.,100%,si,si,si,si,-,si,-,-
CM,M,Valongo,-,253969732,-3294120,21968639,6049427,"63,9%",17266806,932,94697
EM,,Vallis Habita - Gestão Empreend. Habitacion.,100%,19352647,-37232,0,101358,-,144465,-,-
CM,P,Valpaços,-,92626109,-21997,2592605,2371915,"26,4%",3740742,224,14702
CM,P,Velas,-,33453134,976962,2140597,306611,"46,4%",481155,86,4936
CM,P,Vendas Novas,-,43976102,-842549,2532277,2352577,"53,6%",2156665,215,11260
CM,P,Viana do Alentejo,-,22538681,-414538,739333,1548218,"33,7%",813397,136,5319
CM,M,Viana do Castelo,-,206361890,4322853,26773244,13829034,"74,9%",6182921,1251,85784
SMVC,,SM de Viana Castelo,100%,27538345,-2351780,33348,1547407,-,3478734,115,-
CM,P,Vidigueira,-,26631948,-1409444,2879542,1415498,"64,7%",1095063,218,5176
CM,P,Vieira do Minho,-,41877799,86182,6457793,3514317,"91,7%",3076294,207,11956
CM,P,Vila de Rei,-,26540958,571898,1306577,861073,"36,9%",1072431,142,3279
CM,P,Vila do Bispo,-,33268991,2383164,689357,1634582,"16,8%",3549572,236,5717
CM,M,Vila do Conde,-,254938982,-1023171,25050828,7714208,"64,9%",17250813,1141,80831
CM,P,Vila do Porto,-,41408621,84115,286627,498547,"13,7%",940422,101,5408
CM,P,Vila Flor,-,42908717,138916,339595,1858171,"16,6%",431326,166,6052
EIM SA,,AIN - AgroIndustrial do Nordeste,49%,3612601,-216903,434734,572266,-,1986110,-,-
CM,G,Vila Franca de Xira,-,405237181,-16483561,23885870,8056732,"43,6%",24292382,1546,137540
SMAS,,SMAS de Vila Franca Xira,100%,62108742,1080147,0,3322481,-,5085788,175,-
CM,P,Vila Franca do Campo,-,77946755,1238084,32784732,568700,"401,3%",2927582,101,10323
EM,,Marina da Vila - Indústrias Marinas e Recreio,100%,28425,-56062,1838,40752,-,34846,-,-
EM SA,,SDVF - Soc. Desenv. Habit. Social de VFC,85%,541235,150525,1937894,29226,-,2841,-,-
CM,P,Vila Nova da Barquinha,-,32932833,-443784,1591932,1072558,"38,9%",1476709,153,7019
EM SA,,CDN - Gestão e Promoção do Parque Emp.,94%,124912,28671,0,79955,-,74214,-,-
CM,P,Vila Nova de Cerveira,-,51457340,-436505,3561531,2591345,"46,4%",2830265,239,8923
CM,G,Vila Nova de Famalicão,-,289252090,3243808,26079709,11568459,"42,0%",26025080,1526,133574
CM,P,Vila Nova de Foz Côa,-,87417976,-396238,0,1077254,"8,3%",1060833,167,6305
EM,,Ribeira da Teja - Produção Energia Eléctrica,56%,5476516,788876,0,268629,-,41832,-,-
CM,G,Vila Nova de Gaia,-,891128017,14384999,73000550,32423175,"74,1%",76308212,2126,303854
EM SA,,Águas de Gaia,100%,62638088,304336,37095523,14194498,-,6022651,-,-
EM,,Gaiurb - Urbanismo e Habitação,100%,12736506,926671,69061,6671340,-,3393056,-,-
CM,P,Vila Nova de Paiva,-,26969632,398129,1077993,911472,"28,2%",210616,118,4662
CM,P,Vila Nova de Poiares,-,30222218,-779808,13320192,820044,"207,9%",1588211,110,6807
CM,P,Vila Pouca de Aguiar,-,63557521,-1123394,1683852,4257193,"35,7%",9319324,333,11813
CM,M,Vila Real,-,198972596,3002709,13738848,4223671,"54,8%",12400627,591,49574
EM,,VRS - Vila Real Social,100%,10253020,70066,0,243594,-,143789,-,-
CM,P,Vila Real Sto Antonio,-,83408761,-4737220,57264440,39946781,"400,2%",33512535,416,18825
EM SA,,"VRSA, Sociedade de Gestão Urbana",100%,26191173,-1946122,34800909,29336646,-,43169953,-,-
CM,P,Vila Velha de Ródão,-,37432393,-906750,60697,536769,"8,5%",1504510,160,3285
CM,M,Vila Verde,-,95595210,4897717,12364599,4186855,"58,9%",5232691,373,46446
CM,P,Vila Viçosa,-,17549540,-287894,2533789,852808,"50,5%",1114831,153,7388
CM,P,Vimioso,-,31417138,291141,2048832,1430369,"34,0%",1692912,173,4149
CM,P,Vinhais,-,35577249,-424989,1765616,1422638,"24,3%",372221,188,7768
EM,,Carnes de Vinhais Soc. Abate Transf. Carnes,100%,1152,-47593,32861,113030,-,48630,-,-
EEM,,ProRuris - EM de Desenvolv. Rural de Vinhais,100%,104547,3228,19236,108706,-,63102,-,-
CM,M,Viseu,-,246986953,-1025899,11831642,16813556,"47,0%",28711218,814,99561
SMAS,,SMAS de Viseu,100%,72604496,-959638,0,6658122,-,4873178,184,-
EM,,Habisolvis - Habitação Social,100%,709406,1039,0,174960,-,70032,-,-
SA,,VISEUNOVO - SRU,55%,981033,5149,209007,241758,-,241364,-,-
CM,M,Vizela,-,59627471,-50958,10143169,2573122,"93,7%",6572625,279,23901
EIM,,Vimágua,10%,23043209,667639,8731103,16992027,-,4689071,-,-
CM,P,Vouzela,-,53016258,-763593,5119782,723137,"70,2%",3122186,200,9580
